Name,Date,Value,Ud,Set
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-09-01,2.377,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-10-01,2.316,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-11-01,2.328,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2004-12-01,2.301,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-01-01,2.312,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-02-01,2.31,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-03-01,2.335,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-04-01,2.265,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-05-01,2.193,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-06-01,2.103,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-07-01,2.168,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-08-01,2.223,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-09-01,2.219,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-10-01,2.414,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-11-01,2.684,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2005-12-01,2.783,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-01-01,2.833,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-02-01,2.914,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-03-01,3.105,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-04-01,3.221,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-05-01,3.308,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-06-01,3.401,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-07-01,3.539,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-08-01,3.615,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-09-01,3.715,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-10-01,3.799,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-11-01,3.864,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2006-12-01,3.921,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-01-01,4.064,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-02-01,4.094,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-03-01,4.106,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-04-01,4.253,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-05-01,4.373,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-06-01,4.505,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-07-01,4.564,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-08-01,4.666,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-09-01,4.724,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-10-01,4.647,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-11-01,4.607,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2007-12-01,4.793,%,BCE_TIPOS
